N,bst size,bst maxHeight, bst aveHeight,log(size),sqrt(size),log(N),sqrt(N)
0,22,11,7.0,3.091042453358316,4.69041575982343,-Infinity,0.0
1,56,11,7.0,4.02535169073515,7.483314773547883,0.0,1.0
2,67,11,7.0,4.204692619390966,8.18535277187245,0.6931471805599453,1.4142135623730951
3,94,11,7.0,4.543294782270004,9.695359714832659,1.0986122886681098,1.7320508075688772
4,97,11,7.0,4.574710978503383,9.848857801796104,1.3862943611198906,2.0
5,97,11,7.0,4.574710978503383,9.848857801796104,1.6094379124341003,2.23606797749979
6,108,11,7.0,4.68213122712422,10.392304845413264,1.791759469228055,2.449489742783178
7,154,11,7.0,5.0369526024136295,12.409673645990857,1.9459101490553132,2.6457513110645907
8,157,11,7.0,5.056245805348308,12.529964086141668,2.0794415416798357,2.8284271247461903
9,170,11,7.0,5.135798437050262,13.038404810405298,2.1972245773362196,3.0
10,170,11,7.0,5.135798437050262,13.038404810405298,2.302585092994046,3.1622776601683795
11,162,11,7.0,5.087596335232384,12.727922061357855,2.3978952727983707,3.3166247903554
12,173,11,7.0,5.153291594497779,13.152946437965905,2.4849066497880004,3.4641016151377544
13,181,11,7.0,5.198497031265826,13.45362404707371,2.5649493574615367,3.605551275463989
14,203,11,7.0,5.313205979041787,14.247806848775006,2.6390573296152584,3.7416573867739413
15,238,11,7.0,5.472270673671475,15.427248620541512,2.70805020110221,3.872983346207417
16,240,11,7.0,5.480638923341991,15.491933384829668,2.772588722239781,4.0
17,242,11,7.0,5.488937726156687,15.556349186104045,2.833213344056216,4.123105625617661
18,237,11,7.0,5.4680601411351315,15.394804318340652,2.8903717578961645,4.242640687119285
19,229,11,7.0,5.43372200355424,15.132745950421556,2.9444389791664403,4.358898943540674
20,231,11,7.0,5.442417710521793,15.198684153570664,2.995732273553991,4.47213595499958
21,231,11,7.0,5.442417710521793,15.198684153570664,3.044522437723423,4.58257569495584
22,231,11,7.0,5.442417710521793,15.198684153570664,3.091042453358316,4.69041575982343
23,231,11,7.0,5.442417710521793,15.198684153570664,3.1354942159291497,4.795831523312719
24,224,11,7.0,5.4116460518550396,14.966629547095765,3.1780538303479458,4.898979485566356
25,235,11,7.0,5.459585514144159,15.329709716755891,3.2188758248682006,5.0
26,237,11,7.0,5.4680601411351315,15.394804318340652,3.258096538021482,5.0990195135927845
27,227,11,7.0,5.424950017481403,15.066519173319364,3.295836866004329,5.196152422706632
28,227,11,7.0,5.424950017481403,15.066519173319364,3.332204510175204,5.291502622129181
29,225,11,7.0,5.41610040220442,15.0,3.367295829986474,5.385164807134504
30,225,11,7.0,5.41610040220442,15.0,3.4011973816621555,5.477225575051661
31,228,12,7.0,5.429345628954441,15.0996688705415,3.4339872044851463,5.5677643628300215
32,237,12,7.0,5.4680601411351315,15.394804318340652,3.4657359027997265,5.656854249492381
33,248,12,7.0,5.5134287461649825,15.748015748023622,3.4965075614664802,5.744562646538029
34,239,12,7.0,5.476463551931511,15.459624833740307,3.5263605246161616,5.830951894845301
35,234,12,7.0,5.455321115357702,15.297058540778355,3.5553480614894135,5.916079783099616
36,234,12,7.0,5.455321115357702,15.297058540778355,3.58351893845611,6.0
37,249,12,7.0,5.517452896464707,15.7797338380595,3.6109179126442243,6.082762530298219
38,257,12,7.0,5.54907608489522,16.0312195418814,3.6375861597263857,6.164414002968976
39,259,12,7.0,5.556828061699537,16.09347693943108,3.6635616461296463,6.244997998398398
40,258,12,7.0,5.552959584921617,16.06237840420901,3.6888794541139363,6.324555320336759
41,258,12,7.0,5.552959584921617,16.06237840420901,3.713572066704308,6.4031242374328485
42,260,12,7.0,5.560681631015528,16.1245154965971,3.7376696182833684,6.48074069840786
43,257,12,7.0,5.54907608489522,16.0312195418814,3.7612001156935624,6.557438524302
44,248,12,7.0,5.5134287461649825,15.748015748023622,3.784189633918261,6.6332495807108
45,241,12,7.0,5.484796933490655,15.524174696260024,3.8066624897703196,6.708203932499369
46,233,12,7.0,5.4510384535657,15.264337522473747,3.828641396489095,6.782329983125268
47,235,12,7.0,5.459585514144159,15.329709716755891,3.8501476017100584,6.855654600401044
48,247,12,7.0,5.5093883366279774,15.716233645501712,3.871201010907891,6.928203230275509
49,246,12,7.0,5.5053315359323625,15.684387141358123,3.8918202981106265,7.0
50,246,12,7.0,5.5053315359323625,15.684387141358123,3.912023005428146,7.0710678118654755
51,242,12,7.0,5.488937726156687,15.556349186104045,3.9318256327243257,7.14142842854285
52,242,12,7.0,5.488937726156687,15.556349186104045,3.9512437185814275,7.211102550927978
53,250,12,7.0,5.521460917862246,15.811388300841896,3.970291913552122,7.280109889280518
54,250,12,7.0,5.521460917862246,15.811388300841896,3.9889840465642745,7.3484692283495345
55,249,12,7.0,5.517452896464707,15.7797338380595,4.007333185232471,7.416198487095663
56,243,12,7.0,5.493061443340548,15.588457268119896,4.02535169073515,7.483314773547883
57,235,12,7.0,5.459585514144159,15.329709716755891,4.04305126783455,7.54983443527075
58,242,12,7.0,5.488937726156687,15.556349186104045,4.060443010546419,7.615773105863909
59,251,12,7.0,5.5254529391317835,15.84297951775486,4.07753744390572,7.681145747868608
60,250,12,7.0,5.521460917862246,15.811388300841896,4.0943445622221,7.745966692414834
61,266,12,7.0,5.583496308781699,16.30950643030009,4.110873864173311,7.810249675906654
62,255,12,7.0,5.541263545158426,15.968719422671311,4.127134385045092,7.874007874011811
63,254,12,7.0,5.537334267018537,15.937377450509228,4.143134726391533,7.937253933193772
64,254,12,7.0,5.537334267018537,15.937377450509228,4.1588830833596715,8.0
65,259,12,7.0,5.556828061699537,16.09347693943108,4.174387269895637,8.06225774829855
66,254,12,7.0,5.537334267018537,15.937377450509228,4.189654742026425,8.12403840463596
67,254,12,7.0,5.537334267018537,15.937377450509228,4.204692619390966,8.18535277187245
68,254,12,7.0,5.537334267018537,15.937377450509228,4.219507705176107,8.246211251235321
69,248,12,7.0,5.5134287461649825,15.748015748023622,4.23410650459726,8.306623862918075
70,247,12,7.0,5.5093883366279774,15.716233645501712,4.248495242049359,8.366600265340756
71,254,12,7.0,5.537334267018537,15.937377450509228,4.2626798770413155,8.426149773176359
72,253,12,7.0,5.53338948872752,15.905973720586866,4.276666119016055,8.48528137423857
73,247,12,7.0,5.5093883366279774,15.716233645501712,4.290459441148391,8.54400374531753
74,243,12,7.0,5.493061443340548,15.588457268119896,4.30406509320417,8.602325267042627
75,242,12,7.0,5.488937726156687,15.556349186104045,4.31748811353631,8.660254037844387
76,252,12,7.0,5.529429087511423,15.874507866387544,4.330733340286331,8.717797887081348
77,251,12,7.0,5.5254529391317835,15.84297951775486,4.343805421853684,8.774964387392123
78,251,12,7.0,5.5254529391317835,15.84297951775486,4.356708826689592,8.831760866327848
79,251,12,7.0,5.5254529391317835,15.84297951775486,4.3694478524670215,8.888194417315589
80,250,12,7.0,5.521460917862246,15.811388300841896,4.382026634673881,8.94427190999916
81,243,12,7.0,5.493061443340548,15.588457268119896,4.394449154672439,9.0
82,242,12,7.0,5.488937726156687,15.556349186104045,4.406719247264253,9.055385138137417
83,235,12,7.0,5.459585514144159,15.329709716755891,4.418840607796598,9.1104335791443
84,247,12,7.0,5.5093883366279774,15.716233645501712,4.430816798843313,9.16515138991168
85,247,12,7.0,5.5093883366279774,15.716233645501712,4.442651256490317,9.219544457292887
86,247,12,7.0,5.5093883366279774,15.716233645501712,4.454347296253507,9.273618495495704
87,247,12,7.0,5.5093883366279774,15.716233645501712,4.465908118654584,9.327379053088816
88,247,12,7.0,5.5093883366279774,15.716233645501712,4.477336814478207,9.38083151964686
89,247,12,7.0,5.5093883366279774,15.716233645501712,4.48863636973214,9.433981132056603
90,250,12,7.0,5.521460917862246,15.811388300841896,4.499809670330265,9.486832980505138
91,241,12,7.0,5.484796933490655,15.524174696260024,4.51085950651685,9.539392014169456
92,246,12,7.0,5.5053315359323625,15.684387141358123,4.5217885770490405,9.591663046625438
93,246,12,7.0,5.5053315359323625,15.684387141358123,4.532599493153256,9.643650760992955
94,245,12,7.0,5.501258210544727,15.652475842498529,4.543294782270004,9.695359714832659
95,245,12,7.0,5.501258210544727,15.652475842498529,4.553876891600541,9.746794344808963
96,245,12,7.0,5.501258210544727,15.652475842498529,4.564348191467836,9.797958971132712
97,254,12,7.0,5.537334267018537,15.937377450509228,4.574710978503383,9.848857801796104
98,254,12,7.0,5.537334267018537,15.937377450509228,4.584967478670572,9.899494936611665
99,261,12,7.0,5.564520407322694,16.15549442140351,4.59511985013459,9.9498743710662
100,252,12,7.0,5.529429087511423,15.874507866387544,4.605170185988092,10.0
101,252,12,7.0,5.529429087511423,15.874507866387544,4.61512051684126,10.04987562112089
102,251,12,7.0,5.5254529391317835,15.84297951775486,4.624972813284271,10.099504938362077
103,250,12,7.0,5.521460917862246,15.811388300841896,4.634728988229636,10.14889156509222
104,250,12,7.0,5.521460917862246,15.811388300841896,4.6443908991413725,10.198039027185569
105,249,12,7.0,5.517452896464707,15.7797338380595,4.653960350157523,10.246950765959598
106,240,13,7.0,5.480638923341991,15.491933384829668,4.663439094112067,10.295630140987
107,244,13,7.0,5.497168225293202,15.620499351813308,4.672828834461906,10.344080432788601
108,244,13,7.0,5.497168225293202,15.620499351813308,4.68213122712422,10.392304845413264
109,239,13,8.0,5.476463551931511,15.459624833740307,4.6913478822291435,10.44030650891055
110,255,13,8.0,5.541263545158426,15.968719422671311,4.700480365792417,10.488088481701515
111,254,13,8.0,5.537334267018537,15.937377450509228,4.709530201312334,10.535653752852738
112,254,13,8.0,5.537334267018537,15.937377450509228,4.718498871295094,10.583005244258363
113,253,13,8.0,5.53338948872752,15.905973720586866,4.727387818712341,10.63014581273465
114,262,13,8.0,5.568344503761097,16.186414056238647,4.736198448394496,10.677078252031311
115,268,13,8.0,5.5909869805108565,16.3707055437449,4.74493212836325,10.723805294763608
116,267,13,8.0,5.58724865840025,16.34013463836819,4.7535901911063645,10.770329614269007
117,267,13,8.0,5.58724865840025,16.34013463836819,4.762173934797756,10.816653826391969
118,267,13,8.0,5.58724865840025,16.34013463836819,4.770684624465665,10.862780491200215
119,266,13,8.0,5.583496308781699,16.30950643030009,4.77912349311153,10.908712114635714
120,266,13,8.0,5.583496308781699,16.30950643030009,4.787491742782046,10.954451150103322
121,259,13,8.0,5.556828061699537,16.09347693943108,4.795790545596741,11.0
122,266,13,8.0,5.583496308781699,16.30950643030009,4.804021044733257,11.045361017187261
123,265,13,8.0,5.579729825986222,16.278820596099706,4.812184355372417,11.090536506409418
124,273,13,8.0,5.60947179518496,16.522711641858304,4.820281565605037,11.135528725660043
125,268,13,8.0,5.5909869805108565,16.3707055437449,4.8283137373023015,11.180339887498949
126,268,13,8.0,5.5909869805108565,16.3707055437449,4.836281906951478,11.224972160321824
127,268,13,8.0,5.5909869805108565,16.3707055437449,4.844187086458591,11.269427669584644
128,268,13,8.0,5.5909869805108565,16.3707055437449,4.852030263919617,11.313708498984761
129,272,13,8.0,5.605802066295998,16.492422502470642,4.859812404361672,11.357816691600547
130,272,13,8.0,5.605802066295998,16.492422502470642,4.867534450455582,11.40175425099138
131,271,13,8.0,5.602118820879701,16.46207763315433,4.875197323201151,11.445523142259598
132,274,12,8.0,5.6131281063880705,16.55294535724685,4.882801922586371,11.489125293076057
133,274,12,8.0,5.6131281063880705,16.55294535724685,4.890349128221754,11.532562594670797
134,277,12,8.0,5.6240175061873385,16.64331697709324,4.897839799950911,11.575836902790225
135,273,12,8.0,5.60947179518496,16.522711641858304,4.90527477843843,11.61895003862225
136,264,12,8.0,5.575949103146316,16.24807680927192,4.912654885736052,11.661903789690601
137,270,12,8.0,5.598421958998375,16.431676725154983,4.919980925828125,11.704699910719626
138,280,12,8.0,5.634789603169249,16.73320053068151,4.927253685157205,11.74734012447073
139,274,12,8.0,5.6131281063880705,16.55294535724685,4.9344739331306915,11.789826122551595
140,270,12,8.0,5.598421958998375,16.431676725154983,4.941642422609304,11.832159566199232
141,270,12,8.0,5.598421958998375,16.431676725154983,4.948759890378168,11.874342087037917
142,270,12,8.0,5.598421958998375,16.431676725154983,4.955827057601261,11.916375287812984
143,270,12,8.0,5.598421958998375,16.431676725154983,4.962844630259907,11.958260743101398
144,270,12,8.0,5.598421958998375,16.431676725154983,4.969813299576001,12.0
145,270,12,8.0,5.598421958998375,16.431676725154983,4.976733742420574,12.041594578792296
146,269,12,8.0,5.594711379601839,16.401219466856727,4.983606621708336,12.083045973594572
147,269,12,8.0,5.594711379601839,16.401219466856727,4.990432586778736,12.12435565298214
148,269,12,8.0,5.594711379601839,16.401219466856727,4.997212273764115,12.165525060596439
149,269,12,8.0,5.594711379601839,16.401219466856727,5.003946305945459,12.206555615733702
150,268,12,8.0,5.5909869805108565,16.3707055437449,5.0106352940962555,12.24744871391589
151,283,12,8.0,5.645446897643238,16.822603841260722,5.017279836814924,12.288205727444508
152,285,12,8.0,5.652489180268651,16.881943016134134,5.0238805208462765,12.328828005937952
153,285,12,8.0,5.652489180268651,16.881943016134134,5.030437921392435,12.36931687685298
154,284,12,8.0,5.648974238161206,16.852299546352718,5.0369526024136295,12.409673645990857
155,284,12,8.0,5.648974238161206,16.852299546352718,5.043425116919247,12.449899597988733
156,286,12,8.0,5.655991810819852,16.911534525287763,5.049856007249537,12.489995996796797
157,286,12,8.0,5.655991810819852,16.911534525287763,5.056245805348308,12.529964086141668
158,286,12,8.0,5.655991810819852,16.911534525287763,5.062595033026967,12.569805089976535
